epoch=01 train_mse=0.161005 val_mse=0.156409 val_mae=0.349129 corr=0.2719
epoch=02 train_mse=0.154311 val_mse=0.152184 val_mae=0.343689 corr=0.3172
epoch=03 train_mse=0.150435 val_mse=0.149235 val_mae=0.338294 corr=0.3426
epoch=04 train_mse=0.148270 val_mse=0.148151 val_mae=0.336522 corr=0.3521
epoch=05 train_mse=0.147407 val_mse=0.147511 val_mae=0.335049 corr=0.3557
epoch=06 train_mse=0.146860 val_mse=0.147436 val_mae=0.334369 corr=0.3594
epoch=07 train_mse=0.146412 val_mse=0.146884 val_mae=0.334115 corr=0.3618
epoch=08 train_mse=0.146035 val_mse=0.146539 val_mae=0.333214 corr=0.3644
epoch=09 train_mse=0.145849 val_mse=0.147167 val_mae=0.333515 corr=0.3638
epoch=10 train_mse=0.145653 val_mse=0.146183 val_mae=0.332730 corr=0.3661
epoch=11 train_mse=0.145504 val_mse=0.146002 val_mae=0.332154 corr=0.3676
epoch=12 train_mse=0.145395 val_mse=0.145951 val_mae=0.331530 corr=0.3692
rows=278188 train=250369 val=27819 seed=8101919
